MTRN,BEP,FARM,KAI,KNW,ISDR,DYAI,MITK,PRTG,GILD,TNL,NBIX,ONCY,ARR,KLIC,EAT,QUBT,MRKR,LFMD,NEPH,CYTH,KOSS,FKWL,FLEX,AEHL,TSCO,FLNT,IHT,QCRH,FLS,IMAX,OXM,QUIK,FNB,WCN,RBCAA,WEYS,NSYS,RELX,SJT,WFCF,LIXT,DVAX,CHCI,PALT,NTWK,ALRS,FUN,HL,NVS,NWG,BCAL,SNA,BCML,WTW
-0.072157831,-0.031318392,0.005890335,-0.052030015,0,0,-0.375000009,0,0.065217391,-0.008190001,-0.052115755,0.058380404,-0.021163975,-0.001088317,-0.005181254,-0.003195264,0,0.090909091,0,-0.035294078,0,0.012500098,0,-0.017857098,0,-0.033535385,-0.001394714,-0.071942229,-0.023890887,-0.054815661,0.089766604,0.00094102,0.013071927,-0.039624994,-0.014841546,-0.062303195,-0.078729231,0.067272706,-0.001489939,-0.040381881,0,0,0.012635324,-0.108108101,0,-0.026666684,0,-0.010837036,0,-0.04202731,-0.030456786,0,-0.039366157,0,0.000820623
-0.028246581,0,-0.019369246,0.022453462,0,0,0,0,-0.102040816,-0.022443055,-0.039003597,-0.007117431,-0.027027048,0,0.001736021,-0.00705111,0,-0.138888889,0,0.060975607,0,0.049383024,0,-0.01616166,0.005555599,-0.02544647,0,0.069767143,0.048951118,0.012472252,0.004942295,-0.018335676,-0.022580722,0.00375063,-0.002678867,-0.020805124,0.00937073,-0.005110687,0.01129809,0.003598908,0,0,-0.008912656,0.060606108,0,0.045662101,0,-0.003984144,0.013408103,0.00790794,-0.018324606,0,-0.005996529,0.000995048,-0.016397973
0.00906018,0.002836027,0.059715057,0.040260199,0,0,-0.199999988,0,0.045454545,-0.038336336,0.00733481,-0.073476676,-0.044444457,0.001089502,0.003466201,-0.010975158,0,-0.032258065,0,-0.057471262,-0.333333333,-0.025210211,-0.124999968,-0.045174533,0,0.03221441,-0.001396662,-0.101449343,-0.04666673,0.024759396,-0.029508169,0.004310539,0.02310239,0.01868453,-0.01779094,0.05688821,0.021536825,0,0.017495702,-0.043034671,-0.20000009,0,-0.01079134,0.04285715,0,-0.078602588,0,-0.013500057,-0.027563614,-0.032691836,0.01466649,0,0.001507664,-0.000994058,-0.003612084
-0.028806649,-0.004525028,0.029405482,0.05903062,0,0,0,0.181818092,-0.173913043,0.009234127,0.066019457,0.056092835,-0.005813911,0,0.032815167,0.216057918,0,0,0,-0.146341499,0,0.005746865,0.130612215,0.038709784,-0.009944898,0.107752318,0.001398616,0,0.006993152,-0.010096836,-0.003378375,0.061516552,-0.058064525,0.096844992,0.006493516,0.113489235,0.15521668,-0.058219203,-0.030039308,-0.01873682,0,0,0.007272755,-0.027397327,0,0.004739354,0,0.032944766,-0.00340126,-0.002317583,0.00525645,0,0.038404148,0,0.03848302
0.034668998,0.055113319,-0.046974351,-0.032853638,0,0,0.075000002,-0.153846089,0.105263158,0.017629786,0.008652127,0.003663,0.134502884,0,0.013377999,0.019860582,0,-0.2,0,0.028571477,0,-0.028571294,-0.173285207,0.021739139,-0.010044562,-0.024910584,0,-0.096774119,0.000694452,0.014450135,-0.006779654,0.024258479,0.078767058,-0.012708601,-0.013242838,-0.022714533,-0.041535946,-0.045454545,0.03161073,0.043477769,0.250000141,0,0,-0.014084446,-0.009803933,0.075471623,0,0.000981399,0.062570552,-0.007161999,0.058823558,0,0.014744519,0,-0.009398518
0.013030086,0.005923677,0.009769237,-0.027099256,0,0,0.023255791,0,0,-0.055482315,-0.016252967,-0.029197052,-0.061855636,0.0010882,-0.047854821,-0.023684828,0,0,0,-0.027777824,0,0.029411622,0.048034994,-0.013171341,0,0.003953957,-0.002793324,-0.241071536,-0.011103514,-0.013766278,0.006825932,-0.030262519,0.034920657,-0.019648083,0.00894718,-0.017282121,-0.053512323,0.009523846,-0.020083159,-0.006757111,0,0,0.012635324,0.057142802,0,0.026315807,0,-0.000980437,0.011777679,-0.020471959,-0.041975368,0,-0.004764351,0,-0.042287919
-0.005512737,-0.002141395,0.0228672,0.05100042,0,0,0.022727251,0,0.19047619,-0.001625219,0.038090575,0.031954811,0.010988931,-0.001087017,-0.012131616,-0.022640869,0,0,0,0.071428571,0.5,0,-0.020833412,0.033881013,0,0.031202497,0.001400574,0.200000047,0.010526424,0.008496591,-0.005084781,0.001808604,0.012269969,0.033863465,-0.001364151,0.064887727,-0.005897242,0.022641487,0.011198079,0.010771816,0,0,0.085561554,-0.054054004,0,-0.029914481,0,-0.007359945,0.00634934,-0.002786586,0.002577252,0,0.010531209,0,0.018114935
0.058388859,0.004634251,-0.006878662,-0.037700208,0.25,0,0,0,0,0.003488143,0.017241672,0.012750487,0.027173936,0.0010882,-0.021052698,-0.003861246,0,-0.291666667,0,0,0,0.026857202,0,0.023833168,0,0.034958729,0,0,0.041666585,-0.003851213,0.141396923,0.010835243,0.033333353,0.009358316,0.001366014,0.000569347,-0.055826353,-0.003690033,0.012536675,-0.015154488,0,0,0.006568107,0.071428551,-0.00990092,0.004405219,0,0.017795258,-0.00630928,0.004790455,0.038560614,0,0.023685852,0,0.000278001
-0.021298778,0.023745409,-0.0255412,-0.018231831,0,0,0,0,0,0.019698724,-0.004780681,-0.012589959,0.01058204,0.001086667,-0.034050236,-0.011074209,0,0.411764706,0,0.013333356,0,-0.015581552,0,0.125121159,0,-0.044848223,0,0.029411693,0,-0.032862209,0.001492572,-0.002233165,-0.005865157,-0.001986936,-0.020805077,-0.015366936,-0.003326084,0.0074074,-0.024969159,0.004298776,0,0,-0.001631296,-0.013333366,-0.119999964,0.017543927,0.019462555,0.060223093,0.009523636,-0.00278105,-0.025990322,0,0.014344846,0,-0.00222347
0.019978641,-0.026884285,0.046201698,0.04425172,0,-0.310810924,-0.111111074,0,0,0.038409123,0.028821096,-0.01821492,0.010471128,0,0,0.040313625,0,0,0,0.842105222,0,0,0,0.00862074,0,0.145320128,0.001398616,-0.038095042,0.000666674,0.025734062,0.010432216,0.012085806,-0.023598798,0.033178804,0.015674334,0.060693426,0.112347026,-0.007352934,0.025185328,0.049643235,0,0,-0.073529411,0.472973044,-0.034090944,0,0,0.003206883,-0.025157447,0.011753068,0,0,0.120438166,0,-0.025069596
