ATER,MBRX,TECX,HOLO,LENZ,MNPR,STEC,GNPX,IMG,GNLN,DRUG,MIRA,ASNS,CHSN,DUO
-0.042979986,0.028138488,0.013888875,-0.097765365,0.00757575,0.081081067,-0.093922631,-0.064102505,0.027999973,0.004032316,-0.091897787,-0.050420218,-0.05172409,-0.000854639,-0.028571402
-0.020958082,-0.042105224,0.013698617,-0.040247655,-0.018797064,0.022500038,-0.006097555,0.050228261,0.171206252,-0.018072284,0.023952145,0.026548647,0.036363601,-0.024807565,-0.007352934
-0.027522947,-0.076923132,-0.006756804,-0.100000012,0.057471303,0.036674722,-0.079754599,0.030434754,-0.036544816,0.010224917,-0.005847948,-0.025862045,0.078947399,-0.008771922,-0.022222201
-0.003144614,-0.144047614,-0.01360543,-0.129032274,-0.003623185,0.011792498,-0.031999985,0.181434636,-0.017241445,0.014170066,0.105882319,0.008849549,0.008130073,0.008849549,-0.001515222
0.006309161,0.001390886,-0.020689581,0.222222292,0.025454521,0.027972002,-0.063360886,-0.167857156,-0.070175374,0.0878243,0.06329785,-0.052631529,0.008064508,0.078947399,-0.051593294
-0.028213176,0.038888883,0.021126683,-0.08080813,0.01773048,0.004535143,0.029411736,-0.05579394,0.022641487,0,-0.019509713,0.00925925,0,0.089430905,-0.009599972
-0.064516163,-0.0508022,-0.020689581,-0.018315019,-0.027874539,-0.006771949,-0.042857103,-0.01363635,-0.051660555,-0.02752293,-0.045918383,-0.09633029,-0.047999954,-0.014925359,-0.03392573
0.017241363,0,-0.007042302,-0.055970151,-0.01792113,-0.011363679,0.037313396,0.00460829,0.019455235,0,0.032620315,-0.005076137,0.050420118,-0.00757584,-0.030100346
-0.016949137,-0.07042247,-0.049645399,-0.011857678,0.014598526,-0.048275872,-0.043165427,-0.009174303,0.02786267,-0.094339575,0.009839489,-0.071428563,0,-0.030534323,0.046551743
0.006896566,-0.060606091,0,-0.075999985,-0.007194238,0.057971076,-0.030075248,-0.013888875,-0.079093967,0.010416634,0.025641001,-0.043956066,-0.031999969,-0.023622025,-0.028006622
-0.013698658,-0.109677449,0,-0.047619063,0.00724637,-0.121004611,-0.023255792,-0.028169098,-0.008064508,-0.018556697,-0.047500014,-0.056321867,-0.057851281,0.008064508,-0.030508386
0.031250013,-0.009057963,-0.007462679,-0.077272762,0,-0.046753203,-0.055555503,0.009661827,-0.142276479,-0.035714338,0.016272976,0.010962246,0.022807038,-0.088000011,0.022727187
0.013468041,-0.082266942,-0.01503758,0.083743883,0.017985595,-0.035422374,0.033613412,0.028708222,-0.146919411,0.034858413,-0.00826448,0.036144616,0.003430488,-0.017543843,-0.023931622
0.019933595,-0.089641413,0.015267161,-0.027272745,0.084805659,0.002824856,0.081300831,0.060465056,0.10555559,-0.031578941,0,0.058139548,0.008547001,0.035714252,-0.015761828
0.019543916,0.109409285,0,-0.042056058,-0.058631867,0.033802852,0.011278184,0.021929804,-0.015075362,-0.021739157,0,0.043956001,0.025423807,0,0.138790057
-0.05750801,-0.03747539,-0.00751879,-0.053658555,0.034602042,0.008174379,0.020074312,-0.021459208,-0.040816348,0.02222225,-0.005208328,0.231578918,-0.099173555,-0.017241363,-0.089062473
