LOB,CLF,WMS,FCX,HASI,CHRD,PRTG,SOBR,INLX,RDFN,SQ,AMRC,DAC,UEC,BLNK,RIOT,AMLI,BEEM,JMIA,TPIC,COOP,HOV,LNW,RICK,LUMO,BACK,FNGR,RVYL,ABAT,PLUG,APPS,ENPH,BE,PENN
-0.008438823,-0.002551034,0.001781188,-0.030303021,0.006365348,0.071651095,0,0.066666667,0,-0.000693613,-0.013003318,0.017694033,-0.022340352,-0.021505356,0.021164001,-0.032786951,0.107843139,-0.030634647,-0.013636315,0.016251417,-0.004910018,-0.070572575,-0.037174722,-0.008806269,-0.022123873,-0.024844737,0.08235293,0,-0.085714265,-0.003086417,0.005471951,-0.001704132,0.019035484,-0.00803363
-0.001595688,-0.003836306,0.005841886,0.003906296,0.004427599,0.052325531,0.136363636,-0.0625,0.142857143,-0.00925501,-0.006825402,0.021312348,0.045701911,-0.010989066,-0.010362685,0.101694924,0.176991183,-0.006771949,-0.016897101,0.005330511,0.011513186,-0.007163305,-0.001158254,-0.011352279,0.004524882,0.025477724,-0.271739126,0,-0.062500004,0.182662511,0.004081661,0.012632261,0.004981315,0.010798256
-0.015450354,0.026957624,-0.011363525,0.015564159,-0.007241735,0.002762494,-0.04,-0.106666667,0,0.002802404,0.032283789,0.023064256,-0.00312184,-0.011111101,0.001570692,0.146153896,0.20300748,-0.004318194,-0.014062524,0.009544024,0.004065056,0.00817692,0.04290679,-0.02196717,-0.045045109,0.07453421,0.194029839,0,0.033333369,-0.002617799,0.013550122,0.011126093,0.013630807,0.009538344
0.010281542,-0.008750016,0.024521,0.009961655,0.010783313,-0.066115703,0,0,-0.125,-0.000465777,0.046601677,0.032206141,-0.014613696,0.022471956,-0.012023002,-0.080536915,0.187500012,-0.003652196,-0.009508707,-0.004201777,-0.000809735,-0.00572514,0.074128986,-0.020418553,0,-0.080924868,0.137500016,0,-0.096774229,0.070866138,-0.010695177,0.033677901,0.035452317,0.014739279
-0.000535703,-0.021437539,0.003490532,-0.016691861,0.001882539,-0.008849619,-0.083333333,0.029850746,0,0.011649581,0.004881684,0.018200748,-0.001059249,-0.010989066,-0.005291,-0.029197052,-0.068421035,0.076746863,-0.055999985,-0.022415573,0.083468373,0.002399196,-0.02415455,0.003647758,0.033018951,-0.006289292,0.021978,0,-0.107142829,-0.007352876,-0.012162183,0.019032263,0.022432063,0.000372448
0.005359176,-0.020618602,-0.004720433,-0.004629758,0.014406614,-0.035714253,-0.045454545,-0.15942029,0,0.006448701,0.000883226,-0.00204285,-0.0127253,0,0.05053193,0.060150317,0.101694868,-0.010638237,-0.030508526,-0.000269715,-0.00074796,0.0387746,-0.026520509,-0.008307201,-0.041095959,0.006329098,0.021505356,0.124999975,0.039999962,0.022222141,-0.010943902,-0.029123143,0.054272549,-0.019731969
0.00053303,0,0.014478242,0.048837263,0.026242819,-0.033950585,-0.133333333,0.034482759,0,0.018306618,0.009854476,-0.010235453,-0.036519989,0,-0.022784848,-0.03546096,0.082051299,-0.040860227,0.08391609,0.049109542,0.030688684,0.054377804,-0.000726497,-0.005759445,-0.061904706,-0.094339621,0,0,0.03846158,-0.009661827,0.034578147,0.003912646,-0.007666998,0.007595927
-0.003196681,0.039473702,0.003690845,-0.020029636,-0.007822018,0,0.263736264,0,0,0.004943848,-0.007136695,0.012926577,0.012263021,-0.011111101,0.051813485,0.044117605,-0.033175353,0.035874405,-0.00967741,0.01208841,-0.049382737,0.071241308,0.010541585,-0.015270982,0.010152274,0.013888853,-0.052631592,-0.111111091,0.259259232,-0.014634133,0.004010723,-0.01916207,0.045253844,0.016961886
0.002672478,-0.012658172,0.004167796,-0.017411105,0.011522226,-0.003194961,-0.173913043,-0.216666667,0,0.071109128,0.032125605,0.005104665,-0.016519661,-0.011235945,0.029556622,-0.014084494,-0.024509781,0.158008666,-0.013029304,0.026175416,-0.024446118,0.063647468,-0.010431619,-0.001604451,0,0.006849298,-0.011111101,0,0.970588263,0.039603923,-0.015978743,-0.001324534,0.029567025,-0.023721253
0.003198181,0.003846081,0.00732402,-0.010015475,0.008093603,-0.025641002,0.157894737,-0.085106383,0,0.011273426,-0.011938658,0.009649498,-0.023516265,0.011363626,0.023923537,0.021428551,-0.005025136,0.085981317,0.2788779,0.007924707,0.047768178,0.013425408,0.014176641,0.000535814,0,-0.013605408,0.011235945,0.124999975,-0.164179127,-0.002380893,0.0338295,0.022214857,-0.048205156,-0.002657543
