PLX,SMTI,SCWO,EPM,CMCL,FSI,EGY,VGZ,DGX,LXU,ORKA,FORR,PRDO,ESE,POOL,ATLO,FLO,FNLC,FNWD,NEE,TEF
0,-0.166666667,0,0,0,1,0,0,0.00355253,0.081080659,0.214646465,-0.012499925,-0.006756757,0,0.010203891,0,0.010152378,-0.015999755,0,0.001527276,0.000711588
0,0,0.076923174,0.744000233,0,0,0,-0.111111111,-0.021238736,0,0.04989605,-0.065822924,0.020408163,0,-0.007575554,0,-0.010050343,0.01625991,0,-0.016768521,-0.017069983
0,0,0.28571423,0,0,0,0,0.125,0.019891404,0.100000242,-0.22029703,-0.143631391,0,-0.041666583,-0.005089283,0,0.010152378,-0.023999861,0,0.013953877,-0.010129949
0,0.2,0,0,0.19999978,0,0,0,0.007092248,0,0.008253968,0.069620103,0,-0.013043451,0.007672878,0,0,0,0,-0.003656547,0.013157725
0,-0.166666667,-0.111111145,0,0,0,0,-0.111111111,-0.012324292,0,-0.027707809,0.127219295,-0.046666667,-0.004405424,0.035533096,0,-0.015075088,0,0,-0.054432689,0.012265568
0,0.1,0,0,-0.166666514,0,0,0,-0.001782207,0.022727703,-0.009067358,-0.002624915,0.041958042,0.044247921,0,0,0.035713977,0,0,-0.031250172,-0.009266285
0,1.090909091,-0.156249968,0,0,0,0,0,-0.02500021,0,-0.032679739,0.026315834,-0.006711409,0.016949046,-0.015931258,0,0,0.024590018,0,0.035653615,-0.017265911
0,-0.043478261,0.203703749,0,0,-0.75,0.080769208,0,0.005494381,0.022221862,0.094594595,-0.179487184,0.013513514,0,-0.011208071,0,0.019704521,-0.023999861,0,0.01311447,0.015373546
0,0.090909091,0.046153844,0,0.19999978,0,0,0,0.045537329,0,0.004320988,0.118749984,0,-0.004166381,0.005037499,0,0.014492839,0.024590018,0,-0.001617964,0.008651846
0,0.041666667,0.058823491,0,-0.166666514,0,-0.074733077,0,0.003485213,-0.043478326,-0.09649662,0.030726245,0.053333333,0,0.042606672,0,-0.009524434,-0.039999616,0,0.006483119,0.046461684
0,0.04,0,0.146788837,0,0,0,0,0.024305262,-0.022726914,0.038095238,0.073170526,-0.012658228,-0.012552481,0.036057804,0,0,0,0,0.004830443,0.01502723
0,0.384615385,0.555555522,0,0.39999986,0,0,0,0.045762935,0.023255438,0.000655308,0.007575791,-0.027243492,0.016949046,0.002320026,0,-0.028845253,-0.016666702,0,-0.027242889,0.008748483
0,-0.083333333,-0.071428529,0.500000045,0.142856928,0,-0.038461503,0,-0.043760334,-0.204545383,-0.127701375,0,0.003294893,0,0.064814656,0,-0.009901449,0,-0.046511483,0.03624373,-0.058038943
0,-0.151515152,0.038461514,0.146666396,0.25000036,0,-0.040000082,0,0.00847411,0.08571498,-0.099099099,0.062656852,-0.022988503,-0.049999899,-0.0043472,0,-0.004403517,0,0.060975435,0.050874377,0.002833054
0,0.035714286,0.055555556,0,0.09999974,0,-0.154166676,0,0.010084206,-0.052631624,-0.08,0.066037952,0.008403258,0.017543969,0.021833535,0,0.010152366,0,0,0.036308657,0.007061787
0,-0.206896552,-0.105263158,0,0,0,0,-0.125,-0.019966531,-0.027778354,-0.046195652,-0.066371945,-0.04,-0.034482897,0,0,-0.015075122,0,0,0.021897444,-0.001402404
0,0.260869565,0.117647059,-0.465116146,0.090909149,0,0,0.142857143,-0.003395643,-0.028570904,-0.050332384,0.02843605,-0.020833333,0.035714434,0.006410459,0,-0.010204255,0,0,-0.037142912,-0.034409906
0,-0.034482759,-0.105263158,0.630434761,-0.249999896,0,0,0,-0.025553686,0,-0.328,-0.062211982,0.021276596,0.03017249,-0.010616152,0,-0.010309167,0,0,-0.005934945,-0.003636595
0,-0.178571429,-0.058823529,-0.360000155,0,3,0.076354758,-0.125,0.01223762,-0.058823585,0.071428571,0.240786295,-0.013020939,0.004183812,-0.00482778,0,0.083332621,0,-0.057471109,0.059701957,-0.02846686
