KNW,LIXT,DVAX,CHCI,BHRB,ISDR,MRKR,PRTG,SMTI,SGRP,QUBT,LFMD,NEPH,CYTH,SCWO,WFCF,DYAI,MITK,CTSO,HGBL
0.25,0,-0.053435115,-0.075949378,0,0,0.533333333,0,0.133333333,0.030534414,0,0,0.06976746,0,-0.042857104,0,0.17857147,0,0,-0.07407409
0,0,-0.032258065,0.01369857,0.449438759,0,-0.260869565,0.066666667,0,-0.06666669,0,0,-0.043478333,0,-0.00497512,0,0.212121182,-0.090909091,0.19047619,-0.2
0,0,-0.05,-0.013513455,0,0,0,-0.0625,0,0.023809501,0,0.375000009,0.022727312,0,0,0.099999977,0,0,0,-0.149999976
0,0,0.038596505,0.027397233,0,0,0,-0.066666667,0,-0.031007723,0,0,0,0,0,0,-0.075000002,0,-0.2,0.235294027
-0.333333333,0,-0.064189175,-0.080000015,0,-0.117647111,0,0,-0.147058824,0,0,-0.272727278,-0.044444426,0,0,0,-0.189189167,0,0,-0.238095192
0,0.111111111,-0.016245514,0,-0.000193622,0,-0.117647059,0,-0.303448276,0,0,0,0.034883681,0,0,0,-0.1,-0.0666667,-0.05,0
0,-0.15,0.001834834,-0.014492691,-0.023066763,0.333333286,0,-0.035714286,0.683168317,-0.015999985,0,0.249999981,0,0,0,0,-0.074074111,-0.071428609,0,0
0,0.117647059,0.045787547,0.102941123,-0.00396826,0,0,-0.037037037,0,0.105691051,0,0.100000024,-0.033707828,0,0,0,0.200000048,0.115384624,0,0.187499967
0,-0.052631579,0.042031551,0,0.007968426,0,-0.4,0,0,-0.095588231,0,0,-0.058139534,0,0,0.090909072,-0.1666667,0,0,0
0,0,-0.122689063,-0.080000015,0,-0.099999731,0.333333333,0,0,-0.008130073,0,-0.272727278,0,0,-0.375,0,0.200000048,-0.103448283,0,-0.157894714
0,0,-0.586206895,0.101449328,-0.007905432,-0.433333497,0,-0.115384615,-0.176470588,0.172131077,0,0,-0.024691399,0,0.039999962,0.08333338,0,0,0,-0.062500014
0,0,0.018518501,0,0.00398407,0,-0.166666667,0,0,-0.209790184,0,0,0.113924032,0,0,0,0.2666666,0,0,0
0,0,-0.036363602,0.092105217,-0.005555536,0,0,0,0.214285714,0.0530974,0,0,-0.022727216,0,0,0,-0.342105255,0,-0.157894737,0
0,0,-0.028301904,0.060240948,-0.002394286,0,0,-0.043478261,-0.117647059,-0.016806806,0,0,0.023255754,0.5,0.153846196,0,0.200000048,0,0,0
0,0,0,0.056818245,0,0,0,0,0,-0.042735004,0,0,-0.159090896,0,0.5,0,0,-0.038461503,0,0.333333333
0,0,0.009708682,-0.032258069,0,0,0.1,0,0,0,0,0,0.135135138,0,0,0.076923059,-0.1666667,0,0,0
1.5,0,-0.028846082,0.0222222,0,0,-0.181818182,0.045454545,0,0,0,0.874999972,-0.119047621,0,-0.244444423,0,0.200000048,0,0.03125,0
0,0.055555556,0,-0.065217403,0,0,0,0,0.133333333,0,0,0,-0.013513537,0,0.176470555,0.071428664,-0.1333334,0,0,0.00999999
0,0,-0.029702988,0,0,0,0.111111111,0.260869565,-0.058823529,0,0,-0.333333333,0.164383616,0,0,1.20000004,0,0,-0.03030303,-0.108910906
-0.2,-0.105263158,0.045918347,-0.267441883,0.002400033,0,0,-0.068965517,-0.125,-0.044642814,0,0,-0.117647059,0,0,-0.242424302,-0.038461503,0,0,0.222222281
0,0,0,0.063492113,0.013567146,0,0.2,0,0,0,0,0,-0.066666667,0,0,-0.160000022,0.080000043,0,0,-0.08181821
0,0,-0.019512177,0.029850717,-0.010235775,0,0.5,-0.185185185,0,0.028037355,0,0,0.042857094,0,0,-0.19047615,-0.037037111,-0.199999988,0.125,0.069306983
0,0,0,-0.02898548,0.01034163,0,0.166666667,0,0,0.136363612,0,0.200000048,0.027397308,0.666666667,0.100000024,0,-0.038461503,0.049999952,0,0
0,0,0,-0.029850717,0,0.745097905,0.523809524,0,0,-0.080000019,0,0,-0.133333333,0.2,-0.090909111,0.235294055,0.039999962,0.333333381,0,-0.064814861
0,0,-0.004975143,-0.030769305,0,-0.213482913,-0.0625,-0.045454545,0,0,0,0,0,0,0,0.047619037,0,0,-0.111111111,0
0,0,-0.014999962,0.031746111,-0.010235775,0,-0.366666667,0,0,0.060869612,0,0.24999995,0.030769218,-0.166666667,0,-0.045454536,0.38461549,-0.107142861,0.4375,0.039603923
0,0,0,-0.015384652,0,0,0.157894737,0.214285714,0,0.081967231,0,0,-0.029850734,-0.2,0,0.095238146,-0.1944445,-0.040000021,-0.130434783,0
-0.15,0,-0.010152323,-0.062500047,0,0,0.136363636,0,0,0,0,0,-0.076923077,0,-0.024999976,0.043478184,0.379310405,0,0,0
0.058823529,0,-0.025641026,-0.033333303,0,0,-0.12,-0.137254902,0,0.090909091,0,0,-0.116666653,0,-0.076923124,0,-0.02500005,0,0,-0.276190452
0,0,-0.068421012,-0.103448237,0.01034163,0,0.045454545,0,0,-0.034722271,0,0,0,0,0.027777818,-0.166666635,-0.025641002,0,-0.075,0
-0.055555556,0.117647059,-0.022598955,-0.096153883,0,0,0.043478261,0,0,0,0,0,0.056603789,0,0.027027001,0,-0.078947373,-0.041666628,-0.081081081,0
0,0,0.040462474,0.021276576,-0.010235775,0,0,0,0,-0.136690604,0,0,0.053571366,0,0,0,-0.142857094,0,0.235294118,0
0,-0.210526316,0.005555577,0.375000009,0,0,-0.291666667,0,0,0.124999975,0,0,-0.067796583,0,0,0,0,0,0,-0.013157882
0,0.133333333,-0.038674074,0.09090911,0,0,0.294117647,0.090909091,-0.278571429,-0.07407409,0,0,0.10909094,0.25,-0.052631592,0,0.1666666,-0.173913069,0,0
0,0,-0.068965453,-0.125000024,0,0,-0.090909091,0,0.683168317,0.007999992,0,0,-0.03278694,0,-0.027777752,0,0,0,0,0
0,-0.058823529,-0.024691392,0,0.008750495,-0.257142936,-0.1,-0.083333333,0,-0.047619003,0,0,0,0,0,0,-0.142857094,-0.052631529,-0.142857143,0
