KNW,ISDR,DYAI,MITK,PRTG,QUBT,MRKR,LFMD,NEPH,CYTH,WFCF,LIXT,DVAX,CHCI,PALT,AEHL,ALRS,ARR,BCAL,BCML,BEP,EAT,FARM,FKWL,FLEX,FLNT,FLS,FNB,FUN,GILD,HL,IHT,IMAX,KAI,KLIC,KOSS,MTRN,NBIX,NSYS,NTWK,NVS,NWG,ONCY,OXM,QCRH,QUIK,RBCAA,RELX,SJT,SNA,TNL,TSCO,WCN,WEYS,WTW
0,0,-0.375000009,0,0.065217391,0,0.090909091,0,-0.035294078,0,0,0,0.012635324,-0.108108101,0,0,0,-0.001088317,0,0,-0.031318392,-0.003195264,0.005890335,0,-0.017857098,-0.001394714,-0.054815661,-0.039624994,-0.010837036,-0.008190001,0,-0.071942229,0.089766604,-0.052030015,-0.005181254,0.012500098,-0.072157831,0.058380404,0.067272706,-0.026666684,-0.04202731,-0.030456786,-0.021163975,0.00094102,-0.023890887,0.013071927,-0.062303195,-0.001489939,-0.040381881,-0.039366157,-0.052115755,-0.033535385,-0.014841546,-0.078729231,0.000820623
0,0,0,0,-0.102040816,0,-0.138888889,0,0.060975607,0,0,0,-0.008912656,0.060606108,0,0.005555599,0,0,0,0.000995048,0,-0.00705111,-0.019369246,0,-0.01616166,0,0.012472252,0.00375063,-0.003984144,-0.022443055,0.013408103,0.069767143,0.004942295,0.022453462,0.001736021,0.049383024,-0.028246581,-0.007117431,-0.005110687,0.045662101,0.00790794,-0.018324606,-0.027027048,-0.018335676,0.048951118,-0.022580722,-0.020805124,0.01129809,0.003598908,-0.005996529,-0.039003597,-0.02544647,-0.002678867,0.00937073,-0.016397973
0,0,-0.199999988,0,0.045454545,0,-0.032258065,0,-0.057471262,-0.333333333,-0.20000009,0,-0.01079134,0.04285715,0,0,0,0.001089502,0,-0.000994058,0.002836027,-0.010975158,0.059715057,-0.124999968,-0.045174533,-0.001396662,0.024759396,0.01868453,-0.013500057,-0.038336336,-0.027563614,-0.101449343,-0.029508169,0.040260199,0.003466201,-0.025210211,0.00906018,-0.073476676,0,-0.078602588,-0.032691836,0.01466649,-0.044444457,0.004310539,-0.04666673,0.02310239,0.05688821,0.017495702,-0.043034671,0.001507664,0.00733481,0.03221441,-0.01779094,0.021536825,-0.003612084
0,0,0,0.181818092,-0.173913043,0,0,0,-0.146341499,0,0,0,0.007272755,-0.027397327,0,-0.009944898,0,0,0,0,-0.004525028,0.216057918,0.029405482,0.130612215,0.038709784,0.001398616,-0.010096836,0.096844992,0.032944766,0.009234127,-0.00340126,0,-0.003378375,0.05903062,0.032815167,0.005746865,-0.028806649,0.056092835,-0.058219203,0.004739354,-0.002317583,0.00525645,-0.005813911,0.061516552,0.006993152,-0.058064525,0.113489235,-0.030039308,-0.01873682,0.038404148,0.066019457,0.107752318,0.006493516,0.15521668,0.03848302
0,0,0.075000002,-0.153846089,0.105263158,0,-0.2,0,0.028571477,0,0.250000141,0,0,-0.014084446,-0.009803933,-0.010044562,0,0,0,0,0.055113319,0.019860582,-0.046974351,-0.173285207,0.021739139,0,0.014450135,-0.012708601,0.000981399,0.017629786,0.062570552,-0.096774119,-0.006779654,-0.032853638,0.013377999,-0.028571294,0.034668998,0.003663,-0.045454545,0.075471623,-0.007161999,0.058823558,0.134502884,0.024258479,0.000694452,0.078767058,-0.022714533,0.03161073,0.043477769,0.014744519,0.008652127,-0.024910584,-0.013242838,-0.041535946,-0.009398518
0,0,0.023255791,0,0,0,0,0,-0.027777824,0,0,0,0.012635324,0.057142802,0,0,0,0.0010882,0,0,0.005923677,-0.023684828,0.009769237,0.048034994,-0.013171341,-0.002793324,-0.013766278,-0.019648083,-0.000980437,-0.055482315,0.011777679,-0.241071536,0.006825932,-0.027099256,-0.047854821,0.029411622,0.013030086,-0.029197052,0.009523846,0.026315807,-0.020471959,-0.041975368,-0.061855636,-0.030262519,-0.011103514,0.034920657,-0.017282121,-0.020083159,-0.006757111,-0.004764351,-0.016252967,0.003953957,0.00894718,-0.053512323,-0.042287919
0,0,0.022727251,0,0.19047619,0,0,0,0.071428571,0.5,0,0,0.085561554,-0.054054004,0,0,0,-0.001087017,0,0,-0.002141395,-0.022640869,0.0228672,-0.020833412,0.033881013,0.001400574,0.008496591,0.033863465,-0.007359945,-0.001625219,0.00634934,0.200000047,-0.005084781,0.05100042,-0.012131616,0,-0.005512737,0.031954811,0.022641487,-0.029914481,-0.002786586,0.002577252,0.010988931,0.001808604,0.010526424,0.012269969,0.064887727,0.011198079,0.010771816,0.010531209,0.038090575,0.031202497,-0.001364151,-0.005897242,0.018114935
0.25,0,0,0,0,0,-0.291666667,0,0,0,0,0,0.006568107,0.071428551,-0.00990092,0,0,0.0010882,0,0,0.004634251,-0.003861246,-0.006878662,0,0.023833168,0,-0.003851213,0.009358316,0.017795258,0.003488143,-0.00630928,0,0.141396923,-0.037700208,-0.021052698,0.026857202,0.058388859,0.012750487,-0.003690033,0.004405219,0.004790455,0.038560614,0.027173936,0.010835243,0.041666585,0.033333353,0.000569347,0.012536675,-0.015154488,0.023685852,0.017241672,0.034958729,0.001366014,-0.055826353,0.000278001
0,0,0,0,0,0,0.411764706,0,0.013333356,0,0,0,-0.001631296,-0.013333366,-0.119999964,0,0.019462555,0.001086667,0,0,0.023745409,-0.011074209,-0.0255412,0,0.125121159,0,-0.032862209,-0.001986936,0.060223093,0.019698724,0.009523636,0.029411693,0.001492572,-0.018231831,-0.034050236,-0.015581552,-0.021298778,-0.012589959,0.0074074,0.017543927,-0.00278105,-0.025990322,0.01058204,-0.002233165,0,-0.005865157,-0.015366936,-0.024969159,0.004298776,0.014344846,-0.004780681,-0.044848223,-0.020805077,-0.003326084,-0.00222347
0,-0.310810924,-0.111111074,0,0,0,0,0,0.842105222,0,0,0,-0.073529411,0.472973044,-0.034090944,0,0,0,0,0,-0.026884285,0.040313625,0.046201698,0,0.00862074,0.001398616,0.025734062,0.033178804,0.003206883,0.038409123,-0.025157447,-0.038095042,0.010432216,0.04425172,0,0,0.019978641,-0.01821492,-0.007352934,0,0.011753068,0,0.010471128,0.012085806,0.000666674,-0.023598798,0.060693426,0.025185328,0.049643235,0.120438166,0.028821096,0.145320128,0.015674334,0.112347026,-0.025069596
0,0,-0.02500005,0,0.04,0,0.041666667,0,-0.221428584,0,0,0,-0.026455026,0.100917365,0,0,0,-0.002171325,0,0,0.014625407,0.040904255,0.018683749,-0.063829729,0.017948725,0,0.174034636,0.01798347,0.029171232,0.005252669,-0.00430077,0.079207762,0.066371651,0.04313259,0.048237526,0,0.062609395,0.022263519,-0.018518501,0.025862002,-0.007088131,0.008894703,0.082901584,0.026979381,0.040639852,-0.018126891,0.006539765,0.002270687,-0.011143892,0.042956037,0.058573817,0.032433576,0.016460695,-0.033999858,0.031428599
0.2,1.431372566,0.025641079,0,-0.230769231,0,0,0,-0.192660569,0,0,0,-0.038043519,0.016666708,-0.058823592,0.003382237,0,0,0,0,-0.003203148,-0.049638332,-0.023759951,0.022727251,-0.007556709,0,-0.013277822,-0.027760416,0.02721108,0.007838188,-0.023758091,0.366972655,-0.022129993,-0.042800081,0.014159188,0,0.012178964,-0.018148889,0.141509429,0.10504202,-0.00198309,0.013853869,0.01913881,-0.007321094,0,0.046153813,-0.04168938,-0.010710515,0.022264196,-0.000194852,-0.036888491,-0.020608274,-0.002361592,-0.038302556,-0.025761783
0,0,0.024999976,0,0,0,0,0,-0.01136356,0,0,0,0,-0.098360674,-0.024999926,-0.002247301,0,0.00217605,0,0,0,-0.013057523,-0.031597065,0,-0.058375645,-0.001396662,-0.037741924,-0.035042002,-0.024282621,-0.037156879,-0.043141553,-0.026845809,-0.036775138,-0.027661637,-0.071553077,0.017524077,-0.03317076,-0.060998139,0.047933876,-0.045627334,-0.035962429,-0.059627193,-0.046948393,-0.003471128,-0.055057769,-0.02352939,-0.059321908,-0.041849124,-0.023393137,-0.031238239,-0.044546223,-0.029509889,-0.02367271,-0.042339131,-0.009098713
0,0,-0.024390221,0,0.35,0,0,0,0.057471262,0,0,0,-0.022598813,-0.172727267,0,0.003378313,0,0,0,0,0,-0.031422052,0.008377535,0.222222222,0.001796978,0,-0.001311054,0.007397098,-0.008144683,0.006730543,0.00462383,0,0.001468462,0.016367511,-0.033834551,-0.007777791,-0.015136241,-0.011811013,0,-0.031872555,0.008449923,-0.022457235,0.039408879,-0.061819647,0.046070435,-0.00602407,0.022222014,-0.001955651,0.00082598,0.003829293,-0.025272193,0.001586739,-0.003810324,0.019482394,-0.015781937
0,0,-0.249999981,0,-0.037037037,0,-0.36,0,-0.03260875,0,0,0,0.034682065,0.010989038,0.153846105,0.017957426,0,-0.001085488,0,0.069651721,-0.029994151,0.0307341,0.00568417,-0.018181801,0,0,0.050213424,0.026034674,0.017335533,-0.009805797,0.028768717,-0.103448308,0.001466239,0.010736441,0.046692457,0,0.019467228,0.053784857,0.001577248,-0.049382671,0.003882952,-0.01486497,-0.047393403,0.002784466,-0.040803255,-0.006060662,0.011750745,-0.008273416,0.007152562,-0.00702678,0.024586476,0.042502437,0.00486812,0.001470722,-0.043731705
0,0,-0.1,0,0,0,0.5625,0,0,0,0,0,-0.024208552,0,0,-0.005512723,0,0.001086667,0,0,-0.001104706,-0.002209091,-0.006521717,0,0,0,-0.014895894,0.001301093,-0.008071549,0.002250688,0.039150295,0,0.038067384,-0.025797072,0.005576392,0,-0.162813939,-0.035916835,-0.078740159,-0.021645021,-0.003460752,-0.009602015,0.004975188,-0.001851391,0.059419363,-0.009146302,0.001742249,-0.001756272,0.024310213,-0.009704368,-0.013525383,0.019752325,0.015224976,-0.00880789,-0.008536588
0,0,0.037037,0,-0.038461538,0,0,0,0,0,0,0,0.001908368,-0.032608701,0,-0.002217176,0,0,0,0,-0.005527537,-0.0055337,0.010065796,-0.07407409,0.016143569,0,0.029925102,-0.018193266,0.011301821,0.001571725,0.048439278,-0.023076766,-0.008462615,0.0373832,-0.001848521,-0.014557564,0.087634921,-0.003921565,0.042735043,-0.022123893,-0.00020437,-0.004155233,0.049504889,-0.006026887,-0.046526464,-0.006153819,-0.026086515,0.006377999,0.019200197,0.020824428,0.001327122,0.02905368,-0.00238582,-0.002221353,-0.028905292
0,0,0,0.181818092,0,0,0,0,0.056179776,0,0,0,0.007619077,0.11235952,0,0,0.003030583,0,0.3,-0.023255814,-0.005002707,0.02448511,0.020363903,0.2,-0.010591434,0.004195776,0.002258389,0.009927184,0.038444504,0.010986681,-0.011293267,-0.031496266,0.002844947,0.003378547,0.016666649,0.002841068,-0.009933831,-0.013779468,-0.022950798,0.031674156,0.012260003,0.025034916,-0.042452809,0.006529948,0,-0.021671816,0.017856887,0.0052447,-0.006017816,0.000599881,0.035777436,-0.0144792,0.008540812,0.049350757,-0.012349576
0,0,-0.107142861,0,0,0,0,0,0.010638316,0,0,0,-0.001890402,0.010101035,0,0,0,-0.002171325,0,0,-0.007821715,0.047257439,0.031422558,-0.016666651,0.034790333,0.001392772,0.022331474,0.017038081,-0.003013464,0.007984208,0.053997184,0,0.014184383,0.069210833,-0.027322377,0.01982977,0.056113202,0.011976036,0,-0.118421006,0.011304057,0.008141111,0.029556635,0.007477252,0.022727507,0.009493629,0.030409759,0.020217556,0.001841688,0.03437936,-0.01961646,0.010773656,0.030826794,0.057637884,0.039756317
0,0,-0.160000026,-0.153846089,0,0,-0.36,0,-0.021052667,0,0,0,-0.030303002,0,0,0,0,0.003264133,0,0,-0.000563283,-0.015560568,-0.041169341,0,-0.065517147,-0.001390835,-0.022745535,-0.038659427,-0.008203648,-0.015621638,-0.016748446,-0.048780267,0.016783201,-0.047585815,0.001872847,0.027777926,-0.015482246,-0.00986197,0,-0.064676673,0.005588675,-0.037685195,-0.004784655,-0.040816575,0,-0.028213129,-0.06129462,-0.017685829,0.004730724,-0.025506539,-0.01043935,-0.026647054,-0.000328657,-0.034899324,0.006783812
0,-0.112902851,0.190476228,0,0,0,0,-0.199999988,0.010752707,0,-0.066666747,0,-0.052734389,-0.069999967,0,0,0,-0.002168854,0,0,-0.022534652,-0.012117985,-0.022756477,-0.033898353,0.004612514,0,-0.013944492,-0.001341019,0.018719711,-0.002682257,0.001001705,0.111110908,-0.002751029,-0.064658373,-0.026168382,0.010810799,-0.007148087,-0.005976137,0,-0.005319068,-0.00297713,-0.012587375,-0.004807658,0.012572441,-0.019608041,-0.025806514,-0.00846409,-0.00412164,-0.00523035,0.001784087,0.006593204,-0.011199511,0.002629881,-0.046245008,0.030321549
0,0,0,0.060606,0,0,0,0,0,0,0.071428664,0,0.06185567,-0.043010783,0,0,0,-0.001087017,0,0,-0.00345865,-0.0165332,-0.004393688,0.035087771,-0.021120335,0,0.019133106,-0.016107606,0.023504424,0.012550622,0.002002415,0.038461586,0.011034472,0.004713204,0.013435589,0.016042593,0.009719581,-0.02204402,0.040268418,-0.037433194,-0.000398465,0.026912142,-0.009661862,-0.015759452,0.023333157,-0.003311244,-0.01890255,-0.003920673,0.001577201,-0.012668017,0.010917283,-0.024918625,0,-0.024789992,-0.021997551
-0.083333333,0,0.080000043,-0.057142804,0,0,0,0.249999981,0,0,0,0,-0.038834951,-0.033707871,0,0,0,0.00217605,0,0,0,0.016811142,0.001765357,-0.016949136,0.008442814,-0.004178245,0.035098411,0.025239111,-0.002087635,0.00929601,0.040958803,0.125925957,0.001364288,0.032055936,0.028408967,0.031578851,0.054545377,-0.02254101,0,0.022222201,-0.011153147,0.001379419,-0.039024401,0.026201292,0.006514726,0.003322245,0.049098812,0.001749359,0.011810797,0.020048017,0.010367071,0.000258474,0.009508147,0.013831607,0.015805426
0,-0.081818532,0.259259222,0,0.12,0,0,0,-0.042553174,-0.333333333,0,0,0.012121181,0,0,0,0,0,0,-0.014285678,-0.002313189,-0.011200045,-0.009691679,-0.051724169,-0.022325523,0,0.006210081,-0.0266136,-0.006694625,-0.036622805,-0.02111314,0,-0.014986394,-0.015908817,-0.016574385,0.010204008,-0.049695707,-0.006289352,0,-0.038043417,-0.002618211,0.020661045,0.010152313,-0.019858267,0.060194193,0.006622578,-0.021326865,0.062432026,-0.026718333,0.0075125,-0.016673943,-0.018580763,-0.010717461,-0.015117838,-0.000598426
-0.363636364,0,0.029411736,0,-0.107142857,0,-0.0625,0,0.033333296,0.5,0,0,0.049900201,-0.023255792,0,0,0,-0.003257279,0,0,-0.004058362,0.024272038,-0.01156602,-0.018181801,0.004757341,0,0.008718434,0.018455264,-0.01684907,-0.022991282,-0.033333373,-0.131578836,-0.026279399,-0.00038464,-0.014981258,0.004040695,0.018142984,0.029535939,0,0.045197695,0.016356989,0.031039171,-0.015075368,0.006270633,-0.007936272,-0.013157927,-0.001815905,0.016025888,0.013058764,-0.000196266,-0.009999682,0.013936791,0.005580558,0.005990405,0.008383236
0.714285714,-0.009901048,0,0,0.12,0,0,-0.199999988,0,0,0,0.466666667,0.11787074,-0.023809582,0,0,0,0,0,0,0.025611599,0.018957233,0.0144016,0.0074074,0.017992397,0,0.020880108,0.01140917,0.012853518,0.016309534,0.034482801,-0.053030135,-0.017045438,0.000384788,-0.007604651,-0.011066444,0.029350095,0.010245843,-0.048387052,0.005405426,0.00099341,0.053664952,0,0.027325214,0,-0.003333319,0.046088262,0.023256059,0.013944076,0.022963985,0.012297209,0.029045395,-0.000979141,-0.011165192,0.013361065
0,0,0.142857179,0,-0.035714286,0,-0.066666667,0,0,0,-0.133333394,0,0.051020409,-0.060975596,-0.111111141,0,0.012084333,0,0,0,-0.006810675,0.030490955,0.006654813,0.077205896,0.000930132,0,-0.015981765,0.005972368,0.013113203,0.010087432,0.063725063,-0.040000356,0.002890171,0.043879944,0.021072874,0.00305186,0.014596135,0.014198818,0.096610116,0.069892431,0.026212685,0.036024809,0.005102004,0.006066747,0,0.013377868,0.005797555,-0.001383404,0.023352939,0.017075931,0.018654504,0.033266483,0.011111072,0.061347204,-0.004102007
0,0,-0.249999981,0,0.055555556,0,0,0,0.021505414,0,0,-0.181818182,-0.029126202,0.103896096,0,0,0,0.001089502,0,0,0.011296139,-0.019558458,-0.007051552,-0.146757699,-0.006505462,0,-0.009087392,-0.015830619,-0.008350376,-0.006128298,0.017511786,0.058333494,-0.023054733,-0.012536959,0.024390409,-0.00101432,-0.027768714,0.023999977,-0.102009253,0.01005029,-0.005379783,-0.013189479,0.005076105,0.006029347,-0.064615526,0.006600722,-0.012680751,0.017217368,-0.013621565,-0.014336841,-0.012350648,-0.011707668,-0.002262442,0.003191889,0
0,-0.149999919,0,0,0,0,0,0,-0.052631579,0,0,0,0.025,-0.035294125,-0.062499968,0,0,0,0,0,0.020571655,-0.025064103,0.003994678,0,-0.013096357,0,0.08692703,-0.010218753,-0.001684707,0.038136242,0.066123198,0,-0.022123907,-0.011202421,-0.023809681,0,0.023399835,-0.023437478,0.094664406,-0.009950287,0.013822329,-0.010935569,-0.015151507,-0.01014309,0.050000171,-0.003278674,-0.004669842,-0.014202316,0.005431097,-0.004976339,-0.023286234,-0.033069917,-0.001295811,-0.029339268,-0.002353646
0,0,-0.0666667,0,0.052631579,0,0,0,0.111111111,0,0,0,0.011382126,-0.060975596,0,-0.003333382,0,0,0,0,0,-0.032528808,-0.012820546,0.023999977,-0.038862617,0,-0.022529566,-0.056434726,-0.024883991,0.040915459,-0.022939433,-0.015747816,-0.040723978,-0.052114628,-0.033771167,0,-0.065904591,0.002000046,0,-0.005025145,-0.028848189,-0.063881995,-0.005128168,-0.015370539,0.005012321,-0.016447386,-0.040469468,-0.012038802,-0.008487749,-0.039815325,-0.021191722,-0.044410538,-0.015245207,-0.015658939,-0.031259197
0,0,0,0,0,0,0.071428571,0,-0.139999983,-0.333333333,-0.230769235,0,0.053054649,0.02597409,0.06666663,0,0,0,0,0,-0.014557779,-0.029826696,-0.009852177,-0.04296871,0.015779136,0,0.014140991,-0.001458802,-0.051470237,0.02641602,0.013043268,-0.016000421,-0.006289302,-0.014342582,-0.031068128,-0.035532932,-0.035996917,0.007984024,0,0,-0.002644967,-0.019685071,-0.051546432,-0.015136706,0.005610901,-0.033444852,-0.015280767,-0.008389729,-0.013488961,-0.001402173,-0.017591563,0.020031964,-0.009222266,-0.000740082,-0.011263325
0.25,0,0.17857147,0,0,0,0.533333333,0,0.06976746,0,0,0,-0.053435115,-0.075949378,0,0.001114767,0,-0.001088317,0,-0.019323744,-0.020453878,0.00894357,0.006784329,0,-0.000970892,0,-0.036218655,0.021913801,0.000911809,0.015441284,-0.021458972,0.097561079,0.011075901,-0.005254547,-0.014027739,-0.034210711,-0.005601331,0.009900933,0,-0.055555481,-0.018563797,0.004016029,-0.01630434,0.006724282,-0.059516144,-0.048442885,-0.031036899,-0.007655424,-0.026558029,-0.00962867,0.014719704,-0.002356596,0.007313701,-0.000370209,0.004310391
0,0,0.212121182,-0.090909091,0.066666667,0,-0.260869565,0,-0.043478333,0,0,0,-0.032258065,0.01369857,0,-0.001113526,-0.017910191,0,0,0,0.016241152,-0.011634244,-0.011231082,-0.016326515,0.014577283,-0.004195776,-0.005542771,-0.028592107,0.014578818,-0.007298868,0.067543509,0,0.001564981,0.001625072,0.008129969,0.024523091,0.036800925,-0.00784313,-0.001572363,0.010695126,0.008937924,0.012150343,0.02209951,0.01526729,-0.003296218,0.050909067,-0.03267116,0.013804435,0.033225401,0.001620486,-0.033091688,0.00682424,0.014521594,0.001481702,-0.011649292
0,0,0,0,-0.0625,0,0,0.375000009,0.022727312,0,0.099999977,0,-0.05,-0.013513455,0,0,0.003039229,0,0,0,-0.030822594,-0.063901202,-0.053157531,-0.01244812,-0.019157139,0.005617963,-0.007085625,-0.022074654,0.000448899,-0.023488816,-0.023007163,-0.037037081,-0.05625002,-0.020283715,-0.034274261,0.005319314,-0.03802993,-0.009881366,0.022047223,-0.031746053,-0.016687329,-0.032122985,-0.027027048,-0.04652296,0,-0.0415225,-0.009271442,-0.008610146,0.003921053,-0.027502642,-0.055789872,-0.050312768,-0.029278155,-0.00147951,-0.006203552
0,0,-0.075000002,0,-0.066666667,0,0,0,0,0,0,0,0.038596505,0.027397233,0.125000038,-0.002229535,-0.030302888,0,0,0,-0.010600363,-0.008982517,-0.03358946,-0.033613512,-0.015625042,-0.008379902,-0.04243576,0.012791273,-0.014362615,0.018615122,-0.041211015,0,0.051324494,0.062939879,-0.012525872,-0.030687543,-0.025978614,0.001995958,0,0.016393506,0.00335217,-0.021645012,0.016666657,0.030557492,0,-0.007220185,-0.004010989,0.025247136,0.020573478,0.006446169,0.010923597,0.000273914,0.004691769,0,0.022471944
-0.333333333,-0.117647111,-0.189189167,0,0,0,0,-0.272727278,-0.044444426,0,0,0,-0.064189175,-0.080000015,0,-0.011173387,0,-0.001089269,0,0,0.005952403,0.002417403,0.007944681,0,-0.029761767,0,-0.04511137,0.005200913,-0.006830988,-0.052772017,-0.02368457,0,0.01889762,0.006232862,-0.023256001,0.022925524,-0.029377914,-0.009960197,0.001540867,-0.032258084,-0.011902153,0.002949968,-0.04371586,-0.019608773,0.037698458,0,0.01073852,-0.017533176,0.000254709,-0.023760132,-0.006876486,-0.023874766,-0.008672378,-0.003333112,0.03174603
