YOTA,MNTN,RENE,TGAA,PLAO,CLRC,RFAC,THCP,AITR,SVII,LATG,ATMV,GDST,ALCY,FORL,IPXX,TLGY,SKGR,DUET,ENV,FTEL,BMR,SEZL,INSG,SWIN,NVAC,IROH,CSLM,NOVV,DAVE,LUNR,DJT,IBIO,AQU,DRUG,ATER,MBRX,TECX,HOLO,IVCP,ESHA,MARX,CBRG,VMCA,AY
0.006851879,-0.004557902,0,0,0,-0.035344895,0,0,-0.000979454,0,0,0,0,-0.00849058,-0.001884967,0,-0.002500436,0,0,-0.009140362,0.088461549,0.014686218,-0.06321152,0.284210573,0.329462043,0,0,0.001826526,0,0.046995892,-0.046931364,-0.248275832,0.06481475,0,0,0.019543916,0.109409285,0,-0.042056058,0.000921592,0.002918355,0.000937229,0,0.001774579,-0.019003541
0.001890402,0,0,0,0,0,0,0,0,-0.000459569,0,0,0,0.004757392,0,0,0,0,-0.004545472,0.017860644,0.010600697,-0.06578949,0.063639202,-0.151639392,0.096551744,0,0,0.000911511,0.012163283,-0.048295475,-0.026515215,-0.084927957,-0.017391288,-0.001853522,-0.005208328,-0.05750801,-0.03747539,-0.00751879,-0.053658555,0,-0.003879725,0.002808964,-0.001185095,0,0.007853383
0,0,0,-0.000899301,0,-0.003574617,0,0.00097754,0.000980415,0,0,0.000929389,0,0,0.000944309,0,0,-0.014020867,0,0.011762449,-0.010489501,0.091549295,0.044497999,0.111111124,0.241090168,0.011659203,0,-0.005464432,0,-0.1208955,0,0.093669449,0.044247746,0.000928438,-0.000523522,0.020339025,-0.004098369,0.030303001,0.005154659,0.01012897,0,-0.000747,0,0,-0.005714317
0,0,0,0.000900111,0.001168373,0.001793763,-0.002780327,0,0,0,0.000901734,0,0.001385073,-0.003787875,0,0.000964342,0,0.000917452,-0.000913263,0.029540675,-0.003533566,0.07741936,0.157167496,0.03478268,0.089526981,0,0,0.004120886,0,0.202037372,0.18677044,-0.051597727,-0.025423706,0,-0.002095373,-0.003322216,0.008230469,0.007352993,0.153846154,0,0.005842207,0.001681985,0,0,0.012016795
0,0,0.000907375,0,0.003590661,0,0,0,-0.000979454,0.000459781,0,0,0,0.000475205,0.000943328,0.000963413,0,0,0,-0.032395409,0.046099332,0.029940163,-0.030845812,-0.042016865,-0.116279073,-0.011524833,0,-0.00136802,0,-0.012429447,0.114754147,0.043910527,0,0,0.128608991,0.0333333,0.028571425,-0.160583957,-0.079999966,0,-0.00484029,-0.000932857,0,0,0.00361382
0.000943328,0,0.000181311,0,0.00089439,-0.000895276,0,0.000976585,0.000980415,0,0,0.000928438,0.00138307,0.001425211,-0.000942439,0.000962394,0,0.006416104,0,-0.022383814,-0.020338963,0.093023235,-0.024897265,-0.039473647,-0.105263145,0,0,0,0,-0.009725405,0.111764666,0.003968294,-0.017391288,0,0.004651158,-0.04193552,0,0.09565215,-0.028985525,0,0,-0.002801096,-0.000638858,-0.00885743,-0.013374497
0,0.001831456,-0.000181278,0.003597119,0.000893676,0,0,0,0,0.000919139,0,0.00185533,-0.000920744,0.001897577,0,-0.000961469,0,-0.004553665,-0.000914011,0.019569472,-0.044982737,-0.095744653,0.158199475,0.013698617,-0.217647042,0,0,0,-0.011158727,0.053148475,-0.023809501,0.059815558,-0.017699098,0,-0.004629625,0.043771084,0.025793673,0.0079365,-0.039801051,0,0.005836617,-0.003745315,-0.003652965,0.004468292,0.02659021
0.003770025,0.000914098,0,0,0,0,0,0,0,-0.000918295,0,0,0,-0.000946991,0,0.000962394,0,0.006404363,0,0.004606558,-0.003623185,-0.088235348,-0.036363602,0.049549502,0.025062692,0,0,0,0,0.207350564,0.013550122,0.009447967,-0.009009,0,0.004651158,0.12903223,-0.019342341,0.007874008,-0.051813474,0,0,-0.000939871,0.001833223,0,-0.0253936
0,0,0.000906639,-0.004480304,0,0,0,0,0,0,0,0,0,-0.001895778,0.000943328,0.00048078,0.002685742,0,0.002927684,-0.024073334,0.00727272,0.019354898,-0.084669812,0.103004299,-0.090464575,0.008968644,0,0.000913263,0,0.004089057,-0.021390354,0.171921271,0,0.00185533,-0.046296361,-0.017142807,0.023668568,0.015625048,-0.071038213,0,0,0,0.003659649,0.005338116,-0.031266304
0.004694854,0,0,0,0,0,0,-0.001951264,0.000979454,0.00183819,0,0,0,0,0,0,0,-0.004545472,0.001642004,0.023296762,-0.00722021,0.139240445,0.00489561,0.019455235,0.220430088,0.021333313,0,0,0,0.039366467,-0.010929016,-0.043926021,0,0,-0.009708729,-0.008720991,-0.013487417,0.0076923,-0.111764683,0,-0.003868468,0.001881421,0.007292609,0,0.014523962
