ATER,MBRX,TECX,HOLO,MNPR,DRUG,SEZL,DAVE,LUNR,APLT,DNTH,PI,BBW,EML,JANX,CWST,GEHC,ESGR,AVA,FSI,CHWY,ACLS,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
0.031250013,-0.009057963,-0.007462679,-0.077272762,-0.046753203,0.016272976,0.165349402,0.029288735,0.015564188,0.020080302,0.039130418,0.022035338,-0.000454556,0.012730984,0.003253767,0.004752779,0.008025082,0.019722456,0.005376353,0,0.003630689,0.047505382,0.000980415,0,0,0,-0.004629637,0,0,0,0,0.036151971,0.000974681,0,0,0.000965273,0,0.001846764,0,-0.000468175,0,0,0,0.000909112,0,0,-0.000459992,0,0.000978403,0.002692974,0.006250058,0.003795063
0.013468041,-0.082266942,-0.01503758,0.083743883,-0.035422374,-0.00826448,-0.001356463,0.2,0.07279696,0.082677182,0.372384927,0.045932673,0.014097293,0.006893758,0.044324308,0.011707728,0.007151515,0.028607145,0.011586435,0.059523826,0.014987029,0.047402047,0,0.000953311,-0.005985229,0,0.007751918,0,-0.002680941,0,0,0.010841696,-0.000973732,0,0,0,0,0,0.002710089,0.000468395,0,0,0,0.000908286,0.004655511,0,0.000460204,0,0,0.002506703,0,0
0.019933595,-0.089641413,0.015267161,-0.027272745,0.002824856,0,-0.093181206,0.138888835,-0.010714276,-0.018181801,0.059756071,0.035749891,-0.032735407,-0.017317773,-0.008281566,0.000935058,-0.012995729,-0.006220027,0.006167374,0.005617972,0.010692515,0.010516369,0,0.009523846,-0.000463188,0,-0.001538497,0,0.039426572,0.004587174,0,0.002730097,0.001949269,0.002835514,0.005570981,0,0,0,-0.000900921,-0.000936351,0,0,0,0,0,0.018894002,0.000919984,0,0,0,0,-0.006805251
0.019543916,0.109409285,0,-0.042056058,0.033802852,0,-0.06321152,0.046995892,-0.046931364,0.0037037,0.028768701,-0.019805837,0.002781616,0.018442655,-0.021920672,-0.008057863,-0.028776913,0.000539546,-0.025102068,0.022346414,-0.020151114,0.005598211,-0.000979454,-0.00849058,0,0,-0.019003541,0,-0.035344895,0.001826526,0,-0.009140362,0.002918355,-0.001884967,0,0,0,0.000921592,0,0.000937229,-0.004557902,0,0,0,0,0,0,0,0,-0.002500436,0.001774579,0.006851879
-0.05750801,-0.03747539,-0.00751879,-0.053658555,0.008174379,-0.005208328,0.063639202,-0.048295475,-0.026515215,0.077490788,-0.001677784,-0.004217757,0.022191469,0.015291716,0.026680897,-0.001177373,0.018448632,-0.003810885,0.016167577,-0.005464476,0.021593833,-0.027121569,0,0.004757392,-0.001853522,0,0.007853383,-0.001185095,0,0.000911511,-0.004545472,0.017860644,-0.003879725,0,0,0,0,0,0,0.002808964,0,0,0,0,0,0,-0.000459569,0,0,0,0,0.001890402
0.020339025,-0.004098369,0.030303001,0.005154659,-0.016216201,-0.000523522,0.044497999,-0.1208955,0,-0.003424654,0.001680604,-0.006107123,-0.008593421,-0.009116114,-0.030145527,0.009429551,0.003842442,-0.015662768,-0.004714197,-0.016483566,-0.024660375,-0.036827851,0.000980415,0,0.000928438,0.000929389,-0.005714317,0,-0.003574617,-0.005464432,0,0.011762449,0,0.000944309,0,0,0,0.01012897,0,-0.000747,0,0.011659203,0,0,0,-0.014020867,0,-0.000899301,0.00097754,0,0,0
-0.003322216,0.008230469,0.007352993,0.153846154,-0.010989066,-0.002095373,0.157167496,0.202037372,0.18677044,0.030927805,0.073825596,0.019028723,0.023266434,-0.003199997,0.020364473,0.009107879,0.016814705,-0.002749771,0.012729435,-0.011173174,0.005159979,0.023840392,0,-0.003787875,0,0,0.012016795,0,0.001793763,0.004120886,-0.000913263,0.029540675,0.005842207,0,0.001385073,0.000964342,0,0,0.000901734,0.001681985,0,0,0.001168373,0,-0.002780327,0.000917452,0,0.000900111,0,0,0,0
0.0333333,0.028571425,-0.160583957,-0.079999966,0.047222245,0.128608991,-0.030845812,-0.012429447,0.114754147,-0.00999999,0.013541579,-0.030149762,0.011145787,-0.016452642,-0.037815188,0.000925733,-0.005108864,0.010367674,-0.002046176,0.045197765,-0.057494813,-0.007513722,-0.000979454,0.000475205,0,0,0.00361382,0,0,-0.00136802,0,-0.032395409,-0.00484029,0.000943328,0,0.000963413,0,0,0,-0.000932857,0,-0.011524833,0.003590661,0.000907375,0,0,0.000459781,0,0,0,0,0
-0.04193552,0,0.09565215,-0.028985525,-0.108753339,0.004651158,-0.024897265,-0.009725405,0.111764666,0.053872082,-0.023638186,-0.027476914,-0.00661374,0.003263971,-0.065502122,-0.013410447,-0.00864864,-0.028855223,-0.003807881,0.0108108,-0.029411814,-0.025185522,0.000980415,0.001425211,0,0.000928438,-0.013374497,-0.000638858,-0.000895276,0,0,-0.022383814,0,-0.000942439,0.00138307,0.000962394,0,0,0,-0.002801096,0,0,0.00089439,0.000181311,0,0.006416104,0,0,0.000976585,0,-0.00885743,0.000943328
0.043771084,0.025793673,0.0079365,-0.039801051,0.104166712,-0.004629625,0.158199475,0.053148475,-0.023809501,-0.003194961,0.09052628,0.04145181,0.013315545,-0.017893474,-0.008177645,0.015584742,0.013495063,0.003484554,0.014407577,0,0.004489334,0.004921179,0,0.001897577,0,0.00185533,0.02659021,-0.003652965,0,0,-0.000914011,0.019569472,0.005836617,0,-0.000920744,-0.000961469,0,0,0,-0.003745315,0.001831456,0,0.000893676,-0.000181278,0,-0.004553665,0.000919139,0.003597119,0,0,0.004468292,0
