ATER,MBRX,TECX,HOLO,MNPR,DRUG,MLGO,SMMT,LASE,GCTS,BMR,ILLR,CURI,ONFO,BYSI
-0.042979986,0.028138488,0.013888875,-0.097765365,0.081081067,-0.091897787,-0.113253016,0.02272725,-0.008928563,-0.000946005,-0.099999974,-0.0652169,-0.021089673,-0.01943459,0.039719602
-0.020958082,-0.042105224,0.013698617,-0.040247655,0.022500038,0.023952145,0.033967391,-0.0037037,-0.009009,0.000946901,0.043209909,-0.069768021,0.003590725,0.059459445,0.011235945
-0.027522947,-0.076923132,-0.006756804,-0.100000012,0.036674722,-0.005847948,0.105124796,-0.052044648,-0.0181818,0.000946095,0.130177457,0.00249988,-0.037567133,-0.047619043,0.033333369
-0.003144614,-0.144047614,-0.01360543,-0.129032274,0.011792498,0.105882319,-0.065398302,0.164705915,-0.055555611,0,-0.020942389,-0.007480868,0.022304878,-0.017857126,0.008602168
0.006309161,0.001390886,-0.020689581,0.222222292,0.027972002,0.06329785,-0.029262088,0.030303001,0.009803912,-0.000945201,-0.037433183,-0.027637876,-0.08181821,0.089090844,-0.053304915
-0.028213176,0.038888883,0.021126683,-0.08080813,0.004535143,-0.019509713,-0.036697275,-0.016339854,0.009708729,0,-0.105555524,-0.023255805,0.009900981,0.050083526,0.013513474
-0.064516163,-0.0508022,-0.020689581,-0.018315019,-0.006771949,-0.045918383,0.051700697,-0.013289024,-0.028846127,0.000946095,0.006211174,0.029100187,0,-0.073131961,-0.055555504
0.017241363,0,-0.007042302,-0.055970151,-0.011363679,0.032620315,-0.09831827,0.043771002,0.049504904,0,-0.012345667,-0.010282207,0,0.046312195,0.035294083
-0.016949137,-0.07042247,-0.049645399,-0.011857678,-0.048275872,0.009839489,-0.094691516,0.116129079,0.043396232,0,-0.093749984,-0.033766837,0.025490219,-0.045901634,-0.003409115
0.006896566,-0.060606091,0,-0.075999985,0.057971076,0.025641001,-0.083993619,-0.031791946,-0.014466468,0.000945201,-0.041379352,-0.008064051,-0.005736178,-0.02405498,-0.027366009
-0.013698658,-0.109677449,0,-0.047619063,-0.121004611,-0.047500014,-0.003460204,-0.011940287,0.036697212,0.000944309,0.079136702,0.070460645,-0.049999989,-0.001760646,0.055099639
0.031250013,-0.009057963,-0.007462679,-0.077272762,-0.046753203,0.016272976,-0.055555583,0.090634428,-0.017699098,0,-0.033333302,-0.086075938,0.014170039,-0.028218648,-0.022222202
0.013468041,-0.082266942,-0.01503758,0.083743883,-0.035422374,-0.00826448,0.134191179,0.044321355,-0.027027001,0,-0.027586262,0.041551548,0.02794411,-0.001814859,-0.015909089
0.019933595,-0.089641413,0.015267161,-0.027272745,0.002824856,0,-0.098865499,0.084880683,-0.018518611,0,0.062411391,0.03191441,0.04854376,-0.036363709,0.036951507
0.019543916,0.109409285,0,-0.042056058,0.033802852,0,-0.043165427,0.083129502,-0.028301861,-0.000943418,0.014686218,-0.020618676,0.031481406,-0.037735815,0.002227143
-0.05750801,-0.03747539,-0.00751879,-0.053658555,0.008174379,-0.005208328,-0.069548938,0.027088119,0.009708729,0,-0.06578949,0,0.041292644,0.001960759,-0.011111101
0.020339025,-0.004098369,0.030303001,0.005154659,-0.016216201,-0.000523522,-0.072727206,-0.147252758,-0.009615376,0,0.091549295,0.057895286,0.018965582,0.058708478,0.022471956
-0.003322216,0.008230469,0.007352993,0.153846154,-0.010989066,-0.002095373,-0.028322464,-0.028350549,0.067961218,0.001888527,0.07741936,-0.00497603,-0.060913726,-0.022181191,0.076923067
0.0333333,0.028571425,-0.160583957,-0.079999966,0.047222245,0.128608991,-0.071748917,-0.001326227,0,-0.000942439,0.029940163,-0.024999814,-0.014414443,0.003780782,-0.010204072
-0.04193552,0,0.09565215,-0.028985525,-0.108753339,0.004651158,-0.03140088,0.04116865,-0.036363709,0,0.093023235,-0.030768789,-0.045703796,0.016949158,0.010309268
0.043771084,0.025793673,0.0079365,-0.039801051,0.104166712,-0.004629625,0.019950105,0.020408143,0.009434066,0.004716909,-0.095744653,-0.071428392,0.024904236,0,0.020408143
0.12903223,-0.019342341,0.007874008,-0.051813474,-0.018867906,0.004651158,0.02200481,-0.029999971,0.009345785,0.000938989,-0.088235348,0.042734032,0,-0.064814861,0
-0.017142807,0.023668568,0.015625048,-0.071038213,-0.021978066,-0.046296361,-0.066985585,-0.01030933,0.0185185,0,0.019354898,-0.021857985,-0.009345896,0.168316791,0.059999943
-0.008720991,-0.013487417,0.0076923,-0.111764683,-0.073033706,-0.009708729,-0.007692361,0.067708332,-0.027272701,0,0.139240445,-0.033519085,-0.007547073,-0.074576224,-0.018867908
0.014662743,0.015624915,0.00763358,10.9205295,-0.060606076,-0.014705869,0.472868211,0.03658539,0,0.003752342,0.222222281,0.063584425,0,0.062271024,0.057692369
0.052023143,-0.051923041,-0.015151501,0.594444444,0.054838736,-0.054726376,0.824561398,-0.016470629,-0.028037466,0,-0.154545466,-0.010870212,-0.064638798,-0.068965453,0.040909051
0.186813242,0.04868158,0.0153846,-0.257839721,0.070336398,0.005263153,-0.398076879,0.076555068,-0.009615376,0,0.134408537,0.104396376,0.016260135,-0.055555611,0.301310074
-0.041666681,0,-0.015151501,-0.198122051,-0.054285731,-0.005235597,0.437699628,0.037777795,0.009708729,0.002336502,3.715639954,-0.007463471,0,0.06078435,-0.093959721
-0.057971059,-0.013539708,0,0.377049138,-0.003021145,0.015789459,-0.082222197,-0.038543962,-0.051923041,-0.001398633,0.413065396,0.127819712,-0.008000016,-0.036968541,0.0148148
0.097435946,0,-0.007692361,-0.042091811,0.021212101,0.012953418,0.047215421,-0.008908678,0.02434076,0.000933728,0.1443812,-0.039999936,0.048387075,0.017274363,0.014598526
0.102803737,-0.019607825,0.015503923,0.375943168,0.00890214,0.002557542,-0.061271648,0.049438264,0.054455512,0.001865625,-0.378495966,0.120370385,0.019230752,-0.056603723,-0.014388476
-0.055084731,-0.004000008,-0.015267221,1.140645083,0.008823521,-0.005102036,0.133004919,0.085653124,-0.004694943,0.004655511,0.356999969,-0.004131973,-0.047169769,0,-0.029197052
-0.044843072,0.004016072,0.007751992,-0.752712459,0.950437297,-0.041025662,-0.108695654,-0.262327439,0.009434066,0.000926805,-0.08621961,-0.066390358,-0.029702942,0.008000016,-0.112782023
-0.037558692,0.001999974,0,-0.055454027,-0.147982099,-0.002673794,-0.078048766,0.098930514,0,-0.000925947,-0.182258012,0.031111538,-0.061224491,0.007936524,-0.016949137
-0.095121963,0.02794411,-0.007692361,-0.289677429,0.964912313,0.029490588,0.018518501,0.046228723,-0.036448628,-0.018535664,0.090729787,0,0,-0.051181146,-0.077586135
0.010781693,0.04854376,-0.007751931,-0.399636699,0.160714305,-0.020833314,-0.1025974,0.079069689,-0.010669289,-0.065155857,-0.173598554,-0.019396482,-0.015217389,0.022821592,0.01869157
0.010666688,0.090740673,0.015625048,0.815431207,0.038461538,-0.010638288,0.047756864,-0.038793068,0.009803912,0.058585853,-0.070021917,0,-0.006622563,0.014198781,0.091743138
0.055408964,0.045840426,0,-0.214166641,-0.103703675,-0.005376339,0.009668532,-0.013452902,0.004854364,-0.026717533,0.002352995,-0.065934605,0.044444469,0.008000016,0
-0.02500005,-0.009740231,0.0153846,0.071049806,-0.173553745,-0.021081099,-0.158686711,0.02954548,0.004830913,0.050980438,-0.082159654,-0.061176521,0.059574462,-0.025793673,0.084033529
0.166666743,0.03114753,-0.00757575,-0.038613876,-0.169999981,-0.006074013,-0.081300812,0.002207451,0.394230866,0.012126876,0.026854163,-0.01002451,-0.036144592,-0.022403274,0.031007816
0.04615384,-0.028616862,0.015267161,-0.071060779,0.079518052,-0.022222202,-0.084955754,0.024229105,-0.048275897,-0.030414738,-0.127023604,-0.010127187,0.020833376,0.060416697,0.127819512
-0.084033657,0.126022949,-0.01503758,-0.140798197,0.104910667,-0.028409064,-0.015473873,-0.036559155,-0.072463786,0.049429609,-0.156918737,-0.007672193,0.016326503,-0.056974487,0.093333324
0.006880782,-0.020348834,-0.00763358,-0.140645181,0.07070715,-0.064327492,-0.072691621,0.131696462,0.258593733,-0.003623185,0.021996636,0.038660082,-0.006024079,0,0.768292757
0.070615006,-0.00593473,0.030769201,0.013513537,-0.094339619,-0.018749982,0.423728832,-0.045364894,0.104903809,0.027272745,-0.091059635,0.042183648,-0.014141413,0.020833376,0.179310332
0.023404271,0,-0.022388038,-0.096296296,-0.047916669,0.070063625,-0.133928519,-0.024793463,0.264044964,-0.070796476,0.087431701,-0.0571431,-0.020491845,0,-0.131578958
0.039501026,0.005970161,0,-0.111475397,-0.10612694,-0.071428576,-0.024055041,-0.067796549,-0.146666686,0.023809524,-0.035175807,0.005050261,0.035564896,-0.020408204,-0.020202001
-0.015999973,-0.062314531,-0.00763358,-0.083025829,0.116279045,-0.038461503,0.05633806,-0.022727251,-0.088541646,0.240930247,-0.019097245,-0.040201245,0.060606002,-0.010416657,0.030927805
-0.040650427,-0.11234183,-0.015384661,-0.016096564,-0.094298209,0.046666702,-0.033333302,0.002325524,0.051428591,-0.179910086,-0.014159278,-0.054973229,0,-0.073684204,0.00333333
-0.182203379,-0.001782508,0.007812493,0.370143107,-0.089588405,-0.070063701,-0.074137981,0.046403779,-0.114130453,-0.013711117,0.280071794,0.011079635,-0.009523801,0.022727251,0
-0.12435235,-0.042857123,-0.015503862,-0.010447716,-0.0598404,-0.109589097,-0.029795131,0.053215024,-0.036809781,0.000926805,0.141655009,-0.027397057,0.001923167,-0.026666655,-0.036544816
0.047337286,-0.076492551,0.023622088,-0.030165911,-0.079207911,0,-0.021113269,-0.027368445,-0.006369496,0,-0.017199059,-0.01408505,0.017274363,0.025114172,0.01379309
0.053672299,0.111111124,-0.007692361,-0.166407528,0.029185802,-0.016153776,-0.058823474,-0.109307387,0.076923083,0.062037043,-0.141250014,-0.022855893,0.035849159,-0.015590199,-0.020408143
-0.112600526,-0.047272768,-0.023255792,-0.076492511,0.135820948,-0.046129799,-0.054166712,-0.117861406,-0.077380952,0,0.008733616,-0.01754427,-0.036429945,0.176470541,0.045138844
-0.129909404,-0.196564861,0.015873001,0.07878791,0.007884355,0.06803274,0.022026411,0.055096364,-0.006451607,-0.028770699,-0.023088002,-0.023809661,0.100189101,0.057692369,0.036544816
