DRUG,ATER,MBRX,TECX,HOLO,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
0.004651158,-0.04193552,0,0.09565215,-0.028985525,0.000980415,0.001425211,0,0.000928438,-0.013374497,-0.000638858,-0.000895276,0,0,-0.022383814,0,-0.000942439,0.00138307,0.000962394,0,0,0,-0.002801096,0,0,0.00089439,0.000181311,0,0.006416104,0,0,0.000976585,0,-0.00885743,0.000943328
-0.004629625,0.043771084,0.025793673,0.0079365,-0.039801051,0,0.001897577,0,0.00185533,0.02659021,-0.003652965,0,0,-0.000914011,0.019569472,0.005836617,0,-0.000920744,-0.000961469,0,0,0,-0.003745315,0.001831456,0,0.000893676,-0.000181278,0,-0.004553665,0.000919139,0.003597119,0,0,0.004468292,0
0.004651158,0.12903223,-0.019342341,0.007874008,-0.051813474,0,-0.000946991,0,0,-0.0253936,0.001833223,0,0,0,0.004606558,0,0,0,0.000962394,0,0,0,-0.000939871,0.000914098,0,0,0,0,0.006404363,-0.000918295,0,0,0,0,0.003770025
-0.046296361,-0.017142807,0.023668568,0.015625048,-0.071038213,0,-0.001895778,0.00185533,0,-0.031266304,0.003659649,0,0.000913263,0.002927684,-0.024073334,0,0.000943328,0,0.00048078,0,0,0,0,0,0.008968644,0,0.000906639,0,0,0,-0.004480304,0,0.002685742,0.005338116,0
-0.009708729,-0.008720991,-0.013487417,0.0076923,-0.111764683,0.000979454,0,0,0,0.014523962,0.007292609,0,0,0.001642004,0.023296762,-0.003868468,0,0,0,0,0,0,0.001881421,0,0.021333313,0,0,0,-0.004545472,0.00183819,0,-0.001951264,0,0,0.004694854
-0.014705869,0.014662743,0.015624915,0.00763358,10.9205295,0.000978403,0.002849068,0.000925947,0.000925947,-0.004772012,-0.004524904,0,0,0,-0.011861468,0.000970896,0.001885057,0,0.001441648,0,0,0,0,0,0,0.001785755,0.003623185,0,0.013698683,0.001834904,0,0,0,-0.000884976,0
-0.054726376,0.052023143,-0.051923041,-0.015151501,0.594444444,-0.000977446,-0.001893983,-0.000925091,0,-0.019712351,0,0,0.001824772,0,-0.002904192,0.001939816,-0.002351888,0,0,0,0,0,0,0.000913263,0,-0.000891286,0,0,0,-0.000915772,-0.00135008,0,0,0.00088576,0
0.005263153,0.186813242,0.04868158,0.0153846,-0.257839721,-0.000195681,0,0,-0.000925091,0.002173963,-0.00363636,0,-0.001821449,0,0.015922324,-0.00193606,0,0,-0.000959715,0,0,0,-0.000938899,0,0,0,-0.002707557,0,0.013513479,0,0,0,0,-0.002654844,0.019626172
-0.005235597,-0.041666681,0,-0.015151501,-0.198122051,0,0,0.001851806,0,0.029826422,-0.00091243,0.000896078,0,-0.000910681,0.01337922,0.000969862,0.00141446,0.000921592,0.003842456,0,0,0,0.000939781,0,0,0,0,0,0,0.001833223,-0.000450664,0.001466309,0,0.002661911,0
0.015789459,-0.057971059,-0.013539708,0,0.377049138,0.000685063,0,0,0,-0.023170118,0.008036557,0,-0.003649632,0,-0.052244444,-0.001937937,-0.000941641,0,-0.003827748,0,0,0,-0.000938899,0.006386833,0,-0.000892081,-0.000724016,0,-0.028444417,-0.001829868,0,0.000488054,0,-0.001769952,0
0.012953418,0.097435946,0,-0.007692361,-0.042091811,0.000488915,0.000948788,0,0,0.003234576,0,0,0,0,0.013930363,0.000970896,0.001885057,0,0.000960637,0,0,0,0,0,0,0.000892878,0.001630194,0,0.018298244,0,-0.000901734,-0.001951264,0.001785755,-0.001773006,0
0.002557542,0.102803737,-0.019607825,0.015503923,0.375943168,0.00097754,-0.000947889,0,0,0.034390079,-0.00253668,0,0.002747228,0,0.016682992,0,-0.001881511,0,-0.000959715,0,0,0.004504436,0,0.000906639,0,0.002676158,0.001808273,0,0,0.000916611,0,0,0.000891201,0,0
-0.005102036,-0.055084731,-0.004000008,-0.015267221,1.140645083,-0.000488292,0,0,0,0.00207797,-0.00018164,0,0,0,0.004440146,-0.000969954,0.001885057,0,0.000960637,0,-0.006381098,0,0,0,0,0,-0.002707557,0.00185869,0,-0.000915772,0,0.002932619,0,0,0
-0.041025662,-0.044843072,0.004016072,0.007751992,-0.752712459,0,0.000948788,0,0,-0.00881286,0,0,0,0.011850512,-0.042667643,-0.003883491,-0.001881511,0.000920831,0.001919338,0.000999024,0,-0.002690559,0,-0.001811549,0,0,0,0,0,0.000458306,0,0.001656939,0,0,0
-0.002673794,-0.037558692,0.001999974,0,-0.055454027,0.000488531,-0.000947889,-0.000924147,0.001851806,-0.009937266,0.000181673,0,0,-0.011711722,-0.020076289,0,0.000942529,0.001839969,-0.000957785,-0.000499013,0.004587174,0.00449642,0.003759395,-0.006352146,0,0,0,0.00185533,0,0,0.002707557,-0.001167664,-0.000890407,0,0
